"","Transect","year","total_abundance","total_effort","CPUE","UpdateTransect","Longitude","Latitude","Substrate_mode","SubstrateCat","Total Night Samples","Total Day Samples","Retain","Zone","RegionName","Comment"
"49","HH39",2016,123,1.079,113.994439295644,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"50","HH39",2018,26,0.498,52.2088353413655,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"51","HH39",2019,2,0.166,12.0481927710843,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"52","HH39",2020,12,0.498,24.0963855421687,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"53","HH39",2021,1,0.083,12.0481927710843,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"54","HH39",2022,9,0.249,36.144578313253,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"55","HH39",2023,25,0.581,43.0292598967298,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"56","HH39",2025,16,0.332,48.1927710843373,"HH39",-79.8725967,43.2694016,1,"Fines",47,38,"Yes","West","BayfrontLaunch",NA
"57","HH41B",2016,10,0.332,30.1204819277108,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"58","HH41B",2018,9,0.249,36.144578313253,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"59","HH41B",2019,1,0.083,12.0481927710843,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"60","HH41B",2020,20,0.498,40.1606425702811,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"61","HH41B",2021,4,0.166,24.0963855421687,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"62","HH41B",2023,24,0.664,36.144578313253,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"63","HH41B",2025,36,0.498,72.289156626506,"HH41B",-79.8727036,43.2699013,1,"Fines",44,26,"Yes","West","BayfrontLaunch",NA
"64","HH42A",2016,36,0.498,72.289156626506,"HH42A",-79.8767014,43.2715988,5,"Fines/Boulder",45,27,"Yes","West","Bayfront",NA
"65","HH42A",2018,2,0.166,12.0481927710843,"HH42A",-79.8767014,43.2715988,5,"Fines/Boulder",45,27,"Yes","West","Bayfront",NA
"66","HH42A",2020,44,0.83,53.0120481927711,"HH42A",-79.8767014,43.2715988,5,"Fines/Boulder",45,27,"Yes","West","Bayfront",NA
"67","HH42A",2021,1,0.083,12.0481927710843,"HH42A",-79.8767014,43.2715988,5,"Fines/Boulder",45,27,"Yes","West","Bayfront",NA
"68","HH42A",2023,4,0.166,24.0963855421687,"HH42A",-79.8767014,43.2715988,5,"Fines/Boulder",45,27,"Yes","West","Bayfront",NA
"69","HH42B",2016,1,0.083,12.0481927710843,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"70","HH42B",2018,2,0.166,12.0481927710843,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"71","HH42B",2019,2,0.166,12.0481927710843,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"72","HH42B",2020,30,0.664,45.1807228915663,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"73","HH42B",2021,4,0.166,24.0963855421687,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"74","HH42B",2025,1,0.083,12.0481927710843,"HH42B",-79.8759003,43.2733002,5,"Fines/Boulder",49,25,"Yes","West","Bayfront",NA
"75","HH43",2025,1,0.083,12.0481927710843,"HH43",NA,NA,3,"INS",4,2,"No",NA,NA,"Sites lost after shoreline re-development at Bayfront- new/post-restoration sites were labelled with A or B"
"76","HH43B",2016,16,0.332,48.1927710843373,"HH43B",-79.8738022,43.273201,4,"Cobble/Rubble",46,24,"Yes","West","Bayfront",NA
"77","HH43B",2018,16,0.332,48.1927710843373,"HH43B",-79.8738022,43.273201,4,"Cobble/Rubble",46,24,"Yes","West","Bayfront",NA
"78","HH43B",2020,1,0.083,12.0481927710843,"HH43B",-79.8738022,43.273201,4,"Cobble/Rubble",46,24,"Yes","West","Bayfront",NA
"79","HH43B",2021,1,0.083,12.0481927710843,"HH43B",-79.8738022,43.273201,4,"Cobble/Rubble",46,24,"Yes","West","Bayfront",NA
"80","HH43B",2023,1,0.083,12.0481927710843,"HH43B",-79.8738022,43.273201,4,"Cobble/Rubble",46,24,"Yes","West","Bayfront",NA
"81","HH44",2016,225,1.245,180.722891566265,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"82","HH44",2018,1,0.083,12.0481927710843,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"83","HH44",2020,5,0.249,20.0803212851406,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"84","HH44",2021,2,0.166,12.0481927710843,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"85","HH44",2022,9,0.249,36.144578313253,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"86","HH44",2023,173,1.245,138.955823293173,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"87","HH44",2025,2,0.166,12.0481927710843,"HH44",-79.8701019,43.271801,1,"Fines",47,32,"Yes","West","Bayfront",NA
"88","HH45",2016,2,0.166,12.0481927710843,"HH45",-79.8684998,43.2752991,4,"Cobble/Rubble",45,28,"Yes","West","Bayfront",NA
"89","HH45",2020,1,0.083,12.0481927710843,"HH45",-79.8684998,43.2752991,4,"Cobble/Rubble",45,28,"Yes","West","Bayfront",NA
"90","HH45",2021,4,0.166,24.0963855421687,"HH45",-79.8684998,43.2752991,4,"Cobble/Rubble",45,28,"Yes","West","Bayfront",NA
"91","HH45",2023,16,0.332,48.1927710843373,"HH45",-79.8684998,43.2752991,4,"Cobble/Rubble",45,28,"Yes","West","Bayfront",NA
"92","HH50",2023,1,0.083,12.0481927710843,"HH50",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7",NA
"93","HH51",2019,1,0.083,12.0481927710843,"HH51",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7","See Piers 5-7 report"
"94","HH51",2020,1,0.083,12.0481927710843,"HH51",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7","See Piers 5-7 report"
"95","HH51",2021,10,0.332,30.1204819277108,"HH51",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7","See Piers 5-7 report"
"96","HH51",2022,4,0.166,24.0963855421687,"HH51",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7","See Piers 5-7 report"
"97","HH51",2023,1,0.083,12.0481927710843,"HH51",NA,NA,1,"INS",15,4,"Maybe_New","West","Piers5-7","See Piers 5-7 report"
"98","HH52",2023,1,0.083,12.0481927710843,"HH52",NA,NA,NA,NA,14,3,"Maybe_New","West","Piers5-7",NA
"99","HH53",2019,4,0.166,24.0963855421687,"HH53",NA,NA,4,"INS",14,4,"Maybe_New","West","Piers5-7",NA
"100","HH53",2022,1,0.083,12.0481927710843,"HH53",NA,NA,4,"INS",14,4,"Maybe_New","West","Piers5-7",NA
"101","HH55",2019,2,0.166,12.0481927710843,"HH55",NA,NA,1,"INS",13,3,"Maybe_New","West","MacassaBay",NA
"102","HH55",2022,121,0.913,132.530120481928,"HH55",NA,NA,1,"INS",13,3,"Maybe_New","West","MacassaBay",NA
"103","HH55",2023,36,0.498,72.289156626506,"HH55",NA,NA,1,"INS",13,3,"Maybe_New","West","MacassaBay",NA
"104","HH56",2022,16,0.332,48.1927710843373,"HH56",NA,NA,NA,NA,12,1,"Maybe_New","West","MacassaBay",NA
"105","HH56",2023,100,0.83,120.481927710843,"HH56",NA,NA,NA,NA,12,1,"Maybe_New","West","MacassaBay",NA
"106","HH57",2018,1,0.083,12.0481927710843,"HH57",NA,NA,NA,NA,13,2,"Maybe_New","West","MacassaBay",NA
"107","HH57",2022,4,0.166,24.0963855421687,"HH57",NA,NA,NA,NA,13,2,"Maybe_New","West","MacassaBay",NA
"108","HH58",2019,1,0.083,12.0481927710843,"HH58",NA,NA,NA,NA,12,2,"Maybe_New","West","MacassaBay",NA
"109","HH58",2020,1,0.083,12.0481927710843,"HH58",NA,NA,NA,NA,12,2,"Maybe_New","West","MacassaBay",NA
"110","HH58",2021,1,0.083,12.0481927710843,"HH58",NA,NA,NA,NA,12,2,"Maybe_New","West","MacassaBay",NA
"111","HH58",2023,1,0.083,12.0481927710843,"HH58",NA,NA,NA,NA,12,2,"Maybe_New","West","MacassaBay",NA
"112","HH59",2018,16,0.332,48.1927710843373,"HH59",NA,NA,NA,NA,13,3,"Maybe_New","West","MacassaBay",NA
"113","HH59",2019,10,0.332,30.1204819277108,"HH59",NA,NA,NA,NA,13,3,"Maybe_New","West","MacassaBay",NA
"114","HH59",2021,8,0.332,24.0963855421687,"HH59",NA,NA,NA,NA,13,3,"Maybe_New","West","MacassaBay",NA
"115","HH59",2023,4,0.166,24.0963855421687,"HH59",NA,NA,NA,NA,13,3,"Maybe_New","West","MacassaBay",NA
"116","HH59",2025,1,0.083,12.0481927710843,"HH59",NA,NA,NA,NA,13,3,"Maybe_New","West","MacassaBay",NA
"117","HH6",2023,1,0.083,12.0481927710843,"HH6",-79.7956009,43.2943993,2,"Sand",49,29,"Yes","East","SouthEast",NA
"118","HH6",2025,1,0.083,12.0481927710843,"HH6",-79.7956009,43.2943993,2,"Sand",49,29,"Yes","East","SouthEast",NA
"119","HH60",2018,1,0.083,12.0481927710843,"HH60",NA,NA,NA,NA,13,4,"Maybe_New","West","MacassaBay",NA
"120","HH60",2020,9,0.249,36.144578313253,"HH60",NA,NA,NA,NA,13,4,"Maybe_New","West","MacassaBay",NA
"121","HH60",2021,5,0.249,20.0803212851406,"HH60",NA,NA,NA,NA,13,4,"Maybe_New","West","MacassaBay",NA
"122","HH60",2023,196,1.162,168.674698795181,"HH60",NA,NA,NA,NA,13,4,"Maybe_New","West","MacassaBay",NA
"123","HH8",2019,4,0.166,24.0963855421687,"HH8",-79.7967987,43.296299,2,"Sand",51,29,"Yes","East","SouthEast",NA
"124","HH8",2021,4,0.166,24.0963855421687,"HH8",-79.7967987,43.296299,2,"Sand",51,29,"Yes","East","SouthEast",NA
"125","HH9",2018,1,0.083,12.0481927710843,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
"126","HH9",2019,4,0.166,24.0963855421687,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
"127","HH9",2020,4,0.166,24.0963855421687,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
"128","HH9",2021,4,0.166,24.0963855421687,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
"129","HH9",2023,2,0.166,12.0481927710843,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
"130","HH9",2025,1,0.083,12.0481927710843,"HH9",-79.802597,43.3013,5,"Boulder",43,23,"Yes","East","East",NA
